Training: loss = 73.78595 | Val: loss = 593.97409
Training: loss = 76.95040 | Val: loss = 591.08052
Training: loss = 75.67895 | Val: loss = 592.64854
Training: loss = 82.62052 | Val: loss = 593.07148
Training: loss = 81.62936 | Val: loss = 593.00306
Training: loss = 81.20558 | Val: loss = 590.37739
Training: loss = 79.71192 | Val: loss = 587.51517
Training: loss = 76.95156 | Val: loss = 585.21522
Training: loss = 81.08790 | Val: loss = 583.17688
Training: loss = 76.46430 | Val: loss = 582.27097
Training: loss = 78.93624 | Val: loss = 581.97981
Training: loss = 77.60530 | Val: loss = 581.99346
Training: loss = 79.68350 | Val: loss = 582.12446
Training: loss = 76.07457 | Val: loss = 577.40771
Training: loss = 76.74237 | Val: loss = 577.09653
Training: loss = 78.18499 | Val: loss = 575.59929
Training: loss = 74.02960 | Val: loss = 575.10168
Training: loss = 77.28690 | Val: loss = 574.68228
Training: loss = 76.27157 | Val: loss = 575.02737
Training: loss = 78.01134 | Val: loss = 573.29512
Training: loss = 79.15954 | Val: loss = 570.92734
Training: loss = 80.94714 | Val: loss = 572.81936
Training: loss = 76.79640 | Val: loss = 569.87248
Training: loss = 76.65709 | Val: loss = 571.46064
Training: loss = 74.32184 | Val: loss = 569.41169
Training: loss = 71.41870 | Val: loss = 564.07354
Training: loss = 75.28044 | Val: loss = 565.77247
Training: loss = 78.94380 | Val: loss = 563.99368
Training: loss = 78.09171 | Val: loss = 560.03722
Training: loss = 77.49318 | Val: loss = 563.57753
Training: loss = 74.14127 | Val: loss = 560.95194
Training: loss = 76.33387 | Val: loss = 558.90668
Training: loss = 73.34433 | Val: loss = 557.24854
Training: loss = 75.29583 | Val: loss = 555.32625
Training: loss = 78.04851 | Val: loss = 556.66484
Training: loss = 80.17199 | Val: loss = 555.08979
Training: loss = 78.98395 | Val: loss = 556.70662
Training: loss = 66.44531 | Val: loss = 553.47319
Training: loss = 77.95233 | Val: loss = 552.00266
Training: loss = 70.21999 | Val: loss = 548.30287
Training: loss = 73.97504 | Val: loss = 547.42439
Training: loss = 73.90397 | Val: loss = 546.20813
Training: loss = 71.27597 | Val: loss = 547.66500
Training: loss = 66.93474 | Val: loss = 542.23054
Training: loss = 69.12387 | Val: loss = 545.34048
Training: loss = 73.05591 | Val: loss = 543.64889
Training: loss = 72.74812 | Val: loss = 543.24916
Training: loss = 70.68361 | Val: loss = 541.76368
Training: loss = 75.40363 | Val: loss = 542.17607
Training: loss = 72.07670 | Val: loss = 537.90707
Training: loss = 70.31169 | Val: loss = 537.98928
Training: loss = 75.22179 | Val: loss = 535.59166
Training: loss = 69.03711 | Val: loss = 531.88726
Training: loss = 72.56121 | Val: loss = 535.15816
Training: loss = 73.14091 | Val: loss = 534.98627
Training: loss = 75.22935 | Val: loss = 532.77459
Training: loss = 75.10342 | Val: loss = 533.46730
Training: loss = 70.02401 | Val: loss = 529.61327
Training: loss = 76.88707 | Val: loss = 529.96116
Training: loss = 73.93814 | Val: loss = 529.44315
Training: loss = 67.48311 | Val: loss = 525.77352
Training: loss = 68.98670 | Val: loss = 522.62216
Training: loss = 76.61282 | Val: loss = 523.68536
Training: loss = 65.22711 | Val: loss = 519.43775
Training: loss = 70.23468 | Val: loss = 520.74478
Training: loss = 73.33296 | Val: loss = 521.60258
Training: loss = 72.49550 | Val: loss = 521.86496
Training: loss = 65.59748 | Val: loss = 519.30575
Training: loss = 65.14735 | Val: loss = 517.28259
Training: loss = 68.90357 | Val: loss = 516.92158
Training: loss = 69.54127 | Val: loss = 515.10605
Training: loss = 70.03240 | Val: loss = 514.15353
Training: loss = 67.53976 | Val: loss = 514.33239
Training: loss = 66.14262 | Val: loss = 511.52400
Training: loss = 72.62771 | Val: loss = 513.37908
Training: loss = 72.43511 | Val: loss = 510.06542
Training: loss = 72.31464 | Val: loss = 510.56025
Training: loss = 67.74482 | Val: loss = 509.54047
Training: loss = 67.22730 | Val: loss = 506.99857
Training: loss = 67.27372 | Val: loss = 506.23056
Training: loss = 79.68481 | Val: loss = 506.59733
Training: loss = 68.45090 | Val: loss = 506.44390
Training: loss = 72.62432 | Val: loss = 506.38197
Training: loss = 62.13851 | Val: loss = 504.46680
Training: loss = 70.62514 | Val: loss = 504.39469
Training: loss = 72.11446 | Val: loss = 504.62018
Training: loss = 67.87170 | Val: loss = 499.73463
Training: loss = 70.36961 | Val: loss = 500.17161
Training: loss = 68.23283 | Val: loss = 497.42861
Training: loss = 67.27970 | Val: loss = 497.47865
Training: loss = 69.79528 | Val: loss = 497.86929
Training: loss = 73.30062 | Val: loss = 497.09833
Training: loss = 70.97488 | Val: loss = 496.12104
Training: loss = 67.13830 | Val: loss = 490.40373
Training: loss = 66.41424 | Val: loss = 493.14280
Training: loss = 64.61845 | Val: loss = 488.84567
Training: loss = 67.51770 | Val: loss = 489.64539
Training: loss = 61.63892 | Val: loss = 488.58375
Training: loss = 66.70873 | Val: loss = 486.63185
Training: loss = 67.91331 | Val: loss = 486.13147
Training: loss = 66.01873 | Val: loss = 486.21782
Training: loss = 70.40637 | Val: loss = 487.77696
Training: loss = 70.59784 | Val: loss = 486.89361
Training: loss = 67.58397 | Val: loss = 485.97329
Training: loss = 68.95121 | Val: loss = 481.76949
Training: loss = 66.48912 | Val: loss = 482.07463
Training: loss = 66.88376 | Val: loss = 481.25968
Training: loss = 66.46197 | Val: loss = 479.43445
Training: loss = 65.74608 | Val: loss = 479.16559
Training: loss = 65.58530 | Val: loss = 477.77776
Training: loss = 67.90345 | Val: loss = 474.76812
Training: loss = 59.33576 | Val: loss = 473.30877
Training: loss = 67.56251 | Val: loss = 471.63597
Training: loss = 62.70796 | Val: loss = 473.80056
Training: loss = 66.12498 | Val: loss = 472.81197
Training: loss = 71.37629 | Val: loss = 474.63978
Training: loss = 65.96965 | Val: loss = 473.68017
Training: loss = 68.65710 | Val: loss = 469.88529
Training: loss = 63.07353 | Val: loss = 466.04899
Training: loss = 66.59367 | Val: loss = 467.48906
Training: loss = 69.39374 | Val: loss = 468.30935
Training: loss = 64.05646 | Val: loss = 466.50975
Training: loss = 66.69111 | Val: loss = 464.01024
Training: loss = 68.70997 | Val: loss = 467.01182
Training: loss = 67.74747 | Val: loss = 464.28663
Training: loss = 60.84200 | Val: loss = 463.04303
Training: loss = 63.12988 | Val: loss = 461.63204
Training: loss = 65.39194 | Val: loss = 457.77094
Training: loss = 64.60084 | Val: loss = 460.93283
Training: loss = 68.81019 | Val: loss = 460.62781
Training: loss = 66.25642 | Val: loss = 462.08229
Training: loss = 67.25755 | Val: loss = 462.05028
Training: loss = 67.51701 | Val: loss = 458.10618
Training: loss = 63.94308 | Val: loss = 456.39377
Training: loss = 64.30939 | Val: loss = 454.52959
Training: loss = 66.19271 | Val: loss = 454.50448
Training: loss = 64.03450 | Val: loss = 455.37177
Training: loss = 62.61231 | Val: loss = 454.86029
Training: loss = 64.99363 | Val: loss = 454.52852
Training: loss = 67.04339 | Val: loss = 455.73514
Training: loss = 64.21538 | Val: loss = 453.81455
Training: loss = 65.48836 | Val: loss = 451.73115
Training: loss = 67.42628 | Val: loss = 449.00900
Training: loss = 68.11985 | Val: loss = 449.08032
Training: loss = 64.23333 | Val: loss = 447.60822
Training: loss = 69.67384 | Val: loss = 448.36917
Training: loss = 62.96233 | Val: loss = 448.17811
Training: loss = 62.26749 | Val: loss = 448.57329
Training: loss = 63.74615 | Val: loss = 445.47934
Training: loss = 68.58118 | Val: loss = 446.64625
Training: loss = 63.56581 | Val: loss = 445.22753
Training: loss = 61.67293 | Val: loss = 442.43748
Training: loss = 64.06727 | Val: loss = 443.62327
Training: loss = 61.72041 | Val: loss = 442.27082
Training: loss = 59.77167 | Val: loss = 437.95602
Training: loss = 63.71689 | Val: loss = 438.13393
Training: loss = 65.83975 | Val: loss = 438.72665
Training: loss = 63.48155 | Val: loss = 439.18261
Training: loss = 62.84675 | Val: loss = 437.36197
Training: loss = 64.23009 | Val: loss = 437.94400
Training: loss = 61.50084 | Val: loss = 435.84319
Training: loss = 64.05743 | Val: loss = 438.08242
Training: loss = 60.16746 | Val: loss = 435.44951
Training: loss = 60.26756 | Val: loss = 431.95847
Training: loss = 62.70477 | Val: loss = 434.13906
Training: loss = 60.18918 | Val: loss = 431.93383
Training: loss = 62.97486 | Val: loss = 431.59676
Training: loss = 63.14336 | Val: loss = 428.92490
Training: loss = 61.67834 | Val: loss = 430.93718
Training: loss = 61.54257 | Val: loss = 427.55678
Training: loss = 64.66317 | Val: loss = 429.81347
Training: loss = 63.36184 | Val: loss = 429.10252
Training: loss = 62.75118 | Val: loss = 425.94469
Training: loss = 62.54586 | Val: loss = 424.24335
Training: loss = 60.76572 | Val: loss = 426.54387
Training: loss = 64.00158 | Val: loss = 424.30267
Training: loss = 59.90719 | Val: loss = 419.55671
Training: loss = 61.23604 | Val: loss = 419.42218
Training: loss = 65.51548 | Val: loss = 421.52995
Training: loss = 62.28402 | Val: loss = 419.35853
Training: loss = 63.95075 | Val: loss = 418.59797
Training: loss = 59.89915 | Val: loss = 413.62394
Training: loss = 66.54254 | Val: loss = 414.65392
Training: loss = 65.32046 | Val: loss = 415.31365
Training: loss = 58.37304 | Val: loss = 414.84145
Training: loss = 63.04908 | Val: loss = 411.45762
Training: loss = 61.30921 | Val: loss = 414.29391
Training: loss = 62.27220 | Val: loss = 411.07605
Training: loss = 62.57272 | Val: loss = 414.91727
Training: loss = 60.92209 | Val: loss = 409.85569
Training: loss = 60.95142 | Val: loss = 407.95303
Training: loss = 58.87861 | Val: loss = 406.24290
Training: loss = 61.89723 | Val: loss = 402.70023
Training: loss = 61.47659 | Val: loss = 403.65633
Training: loss = 62.61388 | Val: loss = 405.92170
Training: loss = 61.95404 | Val: loss = 405.11247
Training: loss = 60.93453 | Val: loss = 403.24893
Training: loss = 60.02515 | Val: loss = 401.07927
Training: loss = 63.28110 | Val: loss = 402.50962
Training: loss = 60.55940 | Val: loss = 402.76375
Training: loss = 61.00634 | Val: loss = 399.05005
Training: loss = 58.90579 | Val: loss = 398.09131
Training: loss = 61.57416 | Val: loss = 397.54879
Training: loss = 58.33132 | Val: loss = 395.31254
Training: loss = 60.48708 | Val: loss = 392.03275
Training: loss = 62.50006 | Val: loss = 395.36018
Training: loss = 58.94565 | Val: loss = 392.24866
Training: loss = 62.22196 | Val: loss = 391.78535
Training: loss = 57.32235 | Val: loss = 389.66955
Training: loss = 58.03946 | Val: loss = 385.85876
Training: loss = 61.45878 | Val: loss = 385.02935
Training: loss = 60.18302 | Val: loss = 384.03976
Training: loss = 61.23299 | Val: loss = 387.64336
Training: loss = 61.30633 | Val: loss = 385.90812
Training: loss = 59.37393 | Val: loss = 383.28646
Training: loss = 57.55744 | Val: loss = 377.53658
Training: loss = 58.96990 | Val: loss = 381.70437
Training: loss = 59.59036 | Val: loss = 382.74692
Training: loss = 58.66202 | Val: loss = 380.65383
Training: loss = 58.47435 | Val: loss = 379.27982
Training: loss = 61.96754 | Val: loss = 382.07078
Training: loss = 60.04867 | Val: loss = 378.75872
Training: loss = 59.93665 | Val: loss = 380.43243
Training: loss = 59.21163 | Val: loss = 381.28746
Training: loss = 59.24480 | Val: loss = 376.95080
Training: loss = 58.06444 | Val: loss = 373.46995
Training: loss = 61.46986 | Val: loss = 375.50130
Training: loss = 57.90980 | Val: loss = 375.48149
Training: loss = 58.35157 | Val: loss = 371.75795
Training: loss = 56.63281 | Val: loss = 374.36457
Training: loss = 59.25519 | Val: loss = 373.87553
Training: loss = 55.52306 | Val: loss = 372.28353
Training: loss = 60.46995 | Val: loss = 372.55751
Training: loss = 60.46735 | Val: loss = 373.81638
Training: loss = 60.67325 | Val: loss = 372.75472
Training: loss = 58.54773 | Val: loss = 371.64947
Training: loss = 59.33592 | Val: loss = 374.86826
Training: loss = 57.53557 | Val: loss = 369.58301
Training: loss = 55.96422 | Val: loss = 369.08044
Training: loss = 59.28253 | Val: loss = 372.41901
Training: loss = 59.39233 | Val: loss = 368.59212
Training: loss = 60.51146 | Val: loss = 367.55217
Training: loss = 59.00390 | Val: loss = 367.25066
Training: loss = 61.73004 | Val: loss = 367.36663
Training: loss = 59.60056 | Val: loss = 363.83387
Training: loss = 62.01093 | Val: loss = 366.24787
Training: loss = 59.62792 | Val: loss = 364.25105
Training: loss = 58.46818 | Val: loss = 361.56170
Training: loss = 57.36563 | Val: loss = 358.65278
Training: loss = 57.84782 | Val: loss = 360.94716
Training: loss = 58.64688 | Val: loss = 360.64634
Training: loss = 58.27397 | Val: loss = 357.90789
Training: loss = 56.75072 | Val: loss = 357.48531
Training: loss = 58.88350 | Val: loss = 356.56164
Training: loss = 61.51262 | Val: loss = 358.20358
Training: loss = 58.33642 | Val: loss = 353.84233
Training: loss = 56.41259 | Val: loss = 353.21689
Training: loss = 64.11936 | Val: loss = 356.17729
Training: loss = 53.57226 | Val: loss = 356.92760
Training: loss = 54.91022 | Val: loss = 351.57877
Training: loss = 59.48699 | Val: loss = 355.35834
Training: loss = 57.54326 | Val: loss = 352.86833
Training: loss = 55.70229 | Val: loss = 350.13317
Training: loss = 62.17713 | Val: loss = 352.12118
Training: loss = 56.16870 | Val: loss = 346.99358
Training: loss = 57.49286 | Val: loss = 348.00313
Training: loss = 54.90064 | Val: loss = 347.15597
Training: loss = 58.26292 | Val: loss = 348.21316
Training: loss = 56.98250 | Val: loss = 343.57135
Training: loss = 58.60405 | Val: loss = 343.04986
Training: loss = 57.09971 | Val: loss = 341.91010
Training: loss = 57.02404 | Val: loss = 337.16080
Training: loss = 57.72669 | Val: loss = 340.15726
Training: loss = 59.56363 | Val: loss = 341.31425
Training: loss = 54.25126 | Val: loss = 339.29214
Training: loss = 59.58695 | Val: loss = 335.07359
Training: loss = 58.10063 | Val: loss = 335.57730
Training: loss = 56.22456 | Val: loss = 338.72048
Training: loss = 55.92857 | Val: loss = 334.66386
Training: loss = 55.22987 | Val: loss = 328.69491
Training: loss = 55.21027 | Val: loss = 331.39157
Training: loss = 56.71770 | Val: loss = 333.55777
Training: loss = 53.88092 | Val: loss = 330.85444
Training: loss = 56.21846 | Val: loss = 330.67555
Training: loss = 59.05967 | Val: loss = 331.70726
Training: loss = 59.30347 | Val: loss = 333.40194
Training: loss = 56.71274 | Val: loss = 329.10081
Training: loss = 55.82265 | Val: loss = 327.28250
Training: loss = 55.32311 | Val: loss = 326.88788
Training: loss = 59.51871 | Val: loss = 325.32193
Training: loss = 56.97493 | Val: loss = 326.62858
Training: loss = 56.05099 | Val: loss = 324.68601
Training: loss = 56.85155 | Val: loss = 323.11676
Training: loss = 57.36624 | Val: loss = 324.97117
Training: loss = 57.06170 | Val: loss = 323.79728
Training: loss = 54.92118 | Val: loss = 321.34927
Training: loss = 54.36750 | Val: loss = 319.03396
Training: loss = 54.85497 | Val: loss = 321.72736
Training: loss = 54.59242 | Val: loss = 318.29885
Training: loss = 55.60973 | Val: loss = 321.34060
Training: loss = 55.53592 | Val: loss = 318.27052
Training: loss = 57.20631 | Val: loss = 321.57940
Training: loss = 54.23610 | Val: loss = 317.76506
Training: loss = 59.51720 | Val: loss = 316.66277
Training: loss = 53.83862 | Val: loss = 315.63774
Training: loss = 53.17751 | Val: loss = 316.04736
Training: loss = 55.55841 | Val: loss = 316.62448
Training: loss = 55.76424 | Val: loss = 316.31830
Training: loss = 56.53427 | Val: loss = 312.87182
Training: loss = 57.93677 | Val: loss = 313.13856
Training: loss = 55.41968 | Val: loss = 311.69144
Training: loss = 55.51865 | Val: loss = 312.05560
Training: loss = 54.57467 | Val: loss = 310.98761
Training: loss = 54.10392 | Val: loss = 309.86596
Training: loss = 56.29309 | Val: loss = 311.26261
Training: loss = 55.41996 | Val: loss = 307.47198
Training: loss = 54.86969 | Val: loss = 307.35289
Training: loss = 54.85335 | Val: loss = 304.46679
Training: loss = 56.16485 | Val: loss = 305.83990
Training: loss = 52.69624 | Val: loss = 304.34983
Training: loss = 55.39094 | Val: loss = 306.54946
Training: loss = 56.92824 | Val: loss = 305.87007
Training: loss = 54.11155 | Val: loss = 307.46758
Training: loss = 54.04478 | Val: loss = 303.34608
Training: loss = 55.58887 | Val: loss = 303.33905
Training: loss = 55.87576 | Val: loss = 303.49936
Training: loss = 54.95964 | Val: loss = 302.73486
Training: loss = 56.97270 | Val: loss = 299.72043
Training: loss = 51.41215 | Val: loss = 301.17801
Training: loss = 54.67425 | Val: loss = 301.77462
Training: loss = 56.50767 | Val: loss = 299.57244
